claim_id,scope,claim,evidence_strength,evidence_artifact,limitation
authentication_36_of_36,full_matrix,All 36 frozen Prompt 10 cells and Final Cell 036 are authenticated complete.,strong,baseline_completion_authentication.json,"Authentication establishes integrity, not predictive superiority."
metric_reconciliation,persisted_full_dev_and_oot_predictions,All 396 supported saved-prediction metric checks reconcile within frozen tolerances.,strong,baseline_metric_reconciliation.csv,DEV fold prediction vectors were not persisted and therefore cannot be recomputed.
dev_fold_prediction_inference,five_expanding_dev_folds,Paired fold-level prediction inference can be reconstructed from Prompt 10 artifacts.,not_supported,baseline_dev_fold_summary.csv,Only fold metrics and selected sets were persisted; fold prediction vectors are absent.
paired_comparison_020,homecredit/catboost/OOT,"boruta_random_forest minus full_features: delta AUC=-0.03182951, paired bootstrap 95% CI [-0.03450404, -0.02897799], Holm-adjusted p=4.3311404e-112.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_021,homecredit/catboost/OOT,"rfe_catboost minus full_features: delta AUC=-0.00460649, paired bootstrap 95% CI [-0.00605395, -0.00323128], Holm-adjusted p=2.0196971e-10.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_022,homecredit/catboost/OOT,"iv_woe minus random_k: delta AUC=0.08317745, paired bootstrap 95% CI [0.07861306, 0.08804138], Holm-adjusted p=4.2813344e-232.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_023,homecredit/catboost/OOT,"mrmr_mutual_information minus random_k: delta AUC=0.07450552, paired bootstrap 95% CI [0.06957114, 0.07964665], Holm-adjusted p=9.3328669e-174.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_024,homecredit/catboost/OOT,"lasso_l1_logistic minus random_k: delta AUC=0.08883295, paired bootstrap 95% CI [0.08423555, 0.09364844], Holm-adjusted p=2.6326463e-265.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_025,homecredit/catboost/OOT,"legacy_rf_relevance_corr minus random_k: delta AUC=0.08441129, paired bootstrap 95% CI [0.07977527, 0.08929913], Holm-adjusted p=2.7250499e-244.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_026,homecredit/catboost/OOT,"catboost_shap minus random_k: delta AUC=0.09414194, paired bootstrap 95% CI [0.08941594, 0.09914011], Holm-adjusted p=3.496279e-288.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_027,homecredit/catboost/OOT,"boruta_random_forest minus random_k: delta AUC=0.06880924, paired bootstrap 95% CI [0.06365093, 0.07381311], Holm-adjusted p=8.9114526e-137.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_028,homecredit/catboost/OOT,"rfe_catboost minus random_k: delta AUC=0.09603226, paired bootstrap 95% CI [0.09154347, 0.10079680], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_029,lendingclub_v2/lr/OOT,"iv_woe minus full_features: delta AUC=-0.02877738, paired bootstrap 95% CI [-0.03014535, -0.02733589], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_030,lendingclub_v2/lr/OOT,"mrmr_mutual_information minus full_features: delta AUC=-0.02496363, paired bootstrap 95% CI [-0.02635299, -0.02355755], Holm-adjusted p=1.3627246e-260.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_031,lendingclub_v2/lr/OOT,"lasso_l1_logistic minus full_features: delta AUC=-0.02978373, paired bootstrap 95% CI [-0.03126627, -0.02822883], Holm-adjusted p=5.7024064e-308.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_032,lendingclub_v2/lr/OOT,"legacy_rf_relevance_corr minus full_features: delta AUC=-0.01934153, paired bootstrap 95% CI [-0.02061977, -0.01800014], Holm-adjusted p=3.9970666e-189.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_033,lendingclub_v2/lr/OOT,"catboost_shap minus full_features: delta AUC=-0.01434509, paired bootstrap 95% CI [-0.01549882, -0.01312374], Holm-adjusted p=2.2328178e-124.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_034,lendingclub_v2/lr/OOT,"boruta_random_forest minus full_features: delta AUC=-0.05513958, paired bootstrap 95% CI [-0.05715997, -0.05288113], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_035,lendingclub_v2/lr/OOT,"rfe_catboost minus full_features: delta AUC=-0.01200667, paired bootstrap 95% CI [-0.01314642, -0.01084165], Holm-adjusted p=3.4764356e-91.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_036,lendingclub_v2/lr/OOT,"iv_woe minus random_k: delta AUC=0.07828810, paired bootstrap 95% CI [0.07558481, 0.08098212], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_037,lendingclub_v2/lr/OOT,"mrmr_mutual_information minus random_k: delta AUC=0.08210185, paired bootstrap 95% CI [0.07939959, 0.08461712], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_038,lendingclub_v2/lr/OOT,"lasso_l1_logistic minus random_k: delta AUC=0.07728176, paired bootstrap 95% CI [0.07447559, 0.08007619], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_039,lendingclub_v2/lr/OOT,"legacy_rf_relevance_corr minus random_k: delta AUC=0.08772395, paired bootstrap 95% CI [0.08512775, 0.09028358], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_040,lendingclub_v2/lr/OOT,"catboost_shap minus random_k: delta AUC=0.09272039, paired bootstrap 95% CI [0.09004883, 0.09541028], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_041,lendingclub_v2/lr/OOT,"boruta_random_forest minus random_k: delta AUC=0.05192590, paired bootstrap 95% CI [0.04966435, 0.05424296], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_042,lendingclub_v2/lr/OOT,"rfe_catboost minus random_k: delta AUC=0.09505882, paired bootstrap 95% CI [0.09247394, 0.09764848], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_043,lendingclub_v2/catboost/OOT,"iv_woe minus full_features: delta AUC=-0.02030055, paired bootstrap 95% CI [-0.02116199, -0.01943090], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_044,lendingclub_v2/catboost/OOT,"mrmr_mutual_information minus full_features: delta AUC=-0.02094961, paired bootstrap 95% CI [-0.02195283, -0.01990147], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_045,lendingclub_v2/catboost/OOT,"lasso_l1_logistic minus full_features: delta AUC=-0.01334643, paired bootstrap 95% CI [-0.01413930, -0.01256630], Holm-adjusted p=2.7583199e-246.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_046,lendingclub_v2/catboost/OOT,"legacy_rf_relevance_corr minus full_features: delta AUC=-0.01577955, paired bootstrap 95% CI [-0.01653910, -0.01502437], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_047,lendingclub_v2/catboost/OOT,"catboost_shap minus full_features: delta AUC=-0.00782425, paired bootstrap 95% CI [-0.00838033, -0.00721834], Holm-adjusted p=5.6647212e-147.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_048,lendingclub_v2/catboost/OOT,"boruta_random_forest minus full_features: delta AUC=-0.03722614, paired bootstrap 95% CI [-0.03879338, -0.03567521], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_049,lendingclub_v2/catboost/OOT,"rfe_catboost minus full_features: delta AUC=-0.00401158, paired bootstrap 95% CI [-0.00449939, -0.00352007], Holm-adjusted p=3.3170537e-57.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_050,lendingclub_v2/catboost/OOT,"iv_woe minus random_k: delta AUC=0.03082700, paired bootstrap 95% CI [0.02894124, 0.03276039], Holm-adjusted p=5.4354569e-240.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_051,lendingclub_v2/catboost/OOT,"mrmr_mutual_information minus random_k: delta AUC=0.03017793, paired bootstrap 95% CI [0.02830617, 0.03201051], Holm-adjusted p=6.9573702e-233.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_052,lendingclub_v2/catboost/OOT,"lasso_l1_logistic minus random_k: delta AUC=0.03778112, paired bootstrap 95% CI [0.03585761, 0.03968619], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_053,lendingclub_v2/catboost/OOT,"legacy_rf_relevance_corr minus random_k: delta AUC=0.03534800, paired bootstrap 95% CI [0.03349300, 0.03725205], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_054,lendingclub_v2/catboost/OOT,"catboost_shap minus random_k: delta AUC=0.04330330, paired bootstrap 95% CI [0.04143373, 0.04512407], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
paired_comparison_055,lendingclub_v2/catboost/OOT,"boruta_random_forest minus random_k: delta AUC=0.01390140, paired bootstrap 95% CI [0.01229562, 0.01551128], Holm-adjusted p=2.2614533e-68.",strong,baseline_pairwise_comparisons.csv,natural-support/count mismatch; non-significance is not equivalence
paired_comparison_056,lendingclub_v2/catboost/OOT,"rfe_catboost minus random_k: delta AUC=0.04711597, paired bootstrap 95% CI [0.04532986, 0.04895573], Holm-adjusted p=0.",strong,baseline_pairwise_comparisons.csv,scoped to this dataset/model/OOT split; non-significance is not equivalence
