dataset,method,configuration,model,metric,stored_value,recomputed_value,absolute_difference,relative_difference,absolute_tolerance,relative_tolerance,passed,verdict,prediction_path,metric_path
homecredit,random_k,k20,lr,bad_rate_capture_at_10,0.186190119760479,0.18619011976047903,2.7755575615628914e-17,1.490711518491668e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,brier,0.2317703002812171,0.23177030028121715,5.551115123125783e-17,2.3950933818484816e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,gini,0.2556475325990455,0.2556475325990455,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,ks,0.1882023944156673,0.18820239441566738,8.326672684688674e-17,4.424318144591843e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,lift_at_10,1.8617926409799093,1.8617926409799093,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,log_loss,0.6559455405756864,0.6559455405756864,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k20,lr,roc_auc,0.6278237662995227,0.6278237662995227,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,bad_rate_capture_at_10,0.250374251497006,0.250374251497006,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,brier,0.1749659193737786,0.17496591937377867,8.326672684688674e-17,4.759025480213924e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,gini,0.3707865163925339,0.3707865163925339,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,ks,0.2750769711092149,0.27507697110921486,5.551115123125783e-17,2.0180224832131808e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,lift_at_10,2.503596536312682,2.503596536312682,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,log_loss,0.5288228891942953,0.5288228891942953,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,random_k,k40,catboost,roc_auc,0.685393258196267,0.685393258196267,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,bad_rate_capture_at_10,0.3006175149700599,0.3006175149700599,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,brier,0.2184648221790276,0.21846482217902763,2.7755575615628914e-17,1.270482603962837e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,gini,0.4762936443667322,0.47629364436673227,5.551115123125783e-17,1.1654816705577507e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,ks,0.3482322036423654,0.34823220364236557,1.6653345369377348e-16,4.78225310444876e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,lift_at_10,3.005999877119823,3.005999877119823,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,log_loss,0.6299551283228517,0.6299551283228517,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k20,lr,roc_auc,0.7381468221833661,0.7381468221833661,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-009-homecredit-lr-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,bad_rate_capture_at_10,0.3447791916167664,0.34477919161676646,5.551115123125783e-17,1.6100493469733616e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,brier,0.1609429072178787,0.1609429072178787,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,gini,0.5371414128949619,0.5371414128949619,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,ks,0.4012080599807106,0.4012080599807107,1.1102230246251565e-16,2.7672002020062467e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,lift_at_10,3.447590895482897,3.4475908954828975,4.440892098500626e-16,1.2881145800446255e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,log_loss,0.4890495521777003,0.48904955217770035,5.551115123125783e-17,1.1350823446023193e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,iv_woe,k40,catboost,roc_auc,0.7685707064474809,0.7685707064474809,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,bad_rate_capture_at_10,0.3012724550898203,0.30127245508982037,5.551115123125783e-17,1.8425564731667196e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,brier,0.215611563189898,0.21561156318989805,5.551115123125783e-17,2.5745906392954846e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,gini,0.4702315092760576,0.4702315092760576,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,ks,0.3486486044164585,0.34864860441645856,5.551115123125783e-17,1.5921805086289723e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,lift_at_10,3.0125488964599536,3.0125488964599536,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,log_loss,0.6239628547408924,0.6239628547408924,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k20,lr,roc_auc,0.7351157546380288,0.7351157546380288,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-013-homecredit-lr-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,bad_rate_capture_at_10,0.3325224550898203,0.33252245508982037,5.551115123125783e-17,1.6693955665719857e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,brier,0.1671309684608856,0.16713096846088565,5.551115123125783e-17,3.321416236766997e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,gini,0.5197975602765119,0.5197975602765119,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,ks,0.3867577824395099,0.38675778243951,5.551115123125783e-17,1.4352950024978472e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,lift_at_10,3.325030676403315,3.325030676403315,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,log_loss,0.5029163463310823,0.5029163463310823,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,mrmr_mutual_information,k40,catboost,roc_auc,0.759898780138256,0.759898780138256,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,bad_rate_capture_at_10,0.3050149700598802,0.30501497005988026,5.551115123125783e-17,1.8199484182812383e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,brier,0.2124479072485012,0.2124479072485012,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,gini,0.4906987064822485,0.49069870648224856,5.551115123125783e-17,1.1312675272614763e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,ks,0.3634826681159694,0.3634826681159694,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,lift_at_10,3.049971864117842,3.049971864117842,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,log_loss,0.6155373870020852,0.6155373870020852,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k20,lr,roc_auc,0.7453493532411243,0.7453493532411243,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-017-homecredit-lr-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,bad_rate_capture_at_10,0.3496444610778443,0.3496444610778443,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,brier,0.1551682507315876,0.15516825073158763,2.7755575615628914e-17,1.7887406402254885e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,gini,0.5484524145372676,0.5484524145372676,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,ks,0.41278949952242,0.41278949952242,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,lift_at_10,3.496240753438151,3.496240753438151,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,log_loss,0.4740711374314528,0.47407113743145285,5.551115123125783e-17,1.1709455996840628e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,lasso_l1_logistic,k40,catboost,roc_auc,0.7742262072686338,0.7742262072686338,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,bad_rate_capture_at_10,0.309505988023952,0.30950598802395207,5.551115123125783e-17,1.7935404605794553e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,brier,0.2156770063914868,0.21567700639148685,5.551115123125783e-17,2.5738094273478826e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,gini,0.4895041336200183,0.4895041336200183,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,ks,0.3597414543769408,0.3597414543769408,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,lift_at_10,3.0948794253073064,3.0948794253073064,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,log_loss,0.6244313990629775,0.6244313990629775,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k20,lr,roc_auc,0.7447520668100092,0.7447520668100092,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,bad_rate_capture_at_10,0.3432821856287425,0.3432821856287425,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,brier,0.156418763098945,0.156418763098945,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,gini,0.5396090995898755,0.5396090995898755,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,ks,0.4070247209599454,0.4070247209599454,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,lift_at_10,3.4326217084197426,3.4326217084197426,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,log_loss,0.4781814492830624,0.4781814492830624,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,legacy_rf_relevance_corr,k40,catboost,roc_auc,0.7698045497949377,0.7698045497949377,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,bad_rate_capture_at_10,0.3124064371257485,0.3124064371257485,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,brier,0.2197456302257869,0.21974563022578691,2.7755575615628914e-17,1.2630774767675825e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,gini,0.5002596884135995,0.5002596884135995,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,ks,0.3703826437099741,0.3703826437099741,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,lift_at_10,3.12388222524217,3.12388222524217,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,log_loss,0.6329136634902536,0.6329136634902536,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k20,lr,roc_auc,0.7501298442067997,0.7501298442067997,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,bad_rate_capture_at_10,0.3561002994011976,0.3561002994011976,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,brier,0.1495211593335761,0.14952115933357615,5.551115123125783e-17,3.7125950252575644e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,gini,0.5590703913117394,0.5590703913117394,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,ks,0.41997782141108,0.4199778214110799,5.551115123125783e-17,1.321763874214747e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,lift_at_10,3.5607953726480077,3.5607953726480073,4.440892098500626e-16,1.2471629604478307e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,log_loss,0.4604235228000805,0.46042352280008053,5.551115123125783e-17,1.2056541093657634e-16,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,catboost_shap,k40,catboost,roc_auc,0.7795351956558697,0.7795351956558697,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,persisted_state_or_manifest
homecredit,boruta_random_forest,k20,lr,bad_rate_capture_at_10,0.3034244011976048,0.3034244011976048,0.0,0.0,1e-10,1e-10,True,pass,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_oot.csv,persisted_state_or_manifest
