evidence_class,active_or_historical,dataset,method,model,artifact_role,relative_path,bytes,sha256,authenticated,authentication_reference,notes
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/selected_features.csv,4101,1b9b4b6f04c068dd3145e57af4dea30c63839b75645b282dc4c53e7d1743217c,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/stability.csv,573,2d5bd86ae5f03a4eacbccb6e9f770319dabf76557abcd863fb53ec60679165a4,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,catboost,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/_SUCCESS,27,7b899def00a8c12399e1255ba9bb969caed9784ff70d26cdec6c983c74d6613f,True,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifest,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,17864,fe8d81263b48026d55a23d8bd734c3cd60bd1cf5d3aaa6368e37dcb7441fed07,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/checkpoint.json,15051,c16a914dd4552a7e9eebaf2873ddfffa745f1800d4983600e43add6541a6dfd6,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/config.json,4829,d9dd1ce0ca42d995b642979144b9b1203cb5b61b1b7468ac0a0aa5c26137cadf,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/fold_selections.csv,8826,92f847cf0bc710cab4c5c12daa34d53aef23bc4ec99a47b0778913a3ec0e294c,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/metrics.csv,1613,c008f1cfaabdfa066e512aa100c69861094006df2ea960627a56c0983476e9d2,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_dev.csv,43231780,2cf197fafe4fd04ab50d99a3ea82cdea5912f962d560bc1cf15af00287ba1523,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_oot.csv,52373390,7f48947c4fe53b0324ef4f8ae830d3027d7acc511e335fb78444830c0e4f8f3e,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/preflight.json,5649,04dffe0eb46fea93ece18af5bae9523a061df1e2e6b5cccb3d06061cd3eef48e,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/resource_usage.json,155877,29215eadfd0b130298ba231268ed7bfd78d4e7cf324b70f19ce1115bec822e0d,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/run.log,5856,09b49ecf33ded9b0cd35f30b9ea20174924508928edc3755400b61c94631d44a,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/selected_features.csv,1861,88e1fe14345ae64068bddfb46881e86760bee5a824bea621df7c7ba8083f3e45,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/stability.csv,556,0e5cd90f9231b76030d6d591521117c5dd09030ce6a48969af5af4d9f5284974,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,boruta_random_forest,lr,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/_SUCCESS,27,e37131672f1f2e84bba59f593de7ce53239660492bcfcbdbd76275f1ed8fd1c3,True,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifest,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,17768,d794798891e57ba642cffb1efef852ed084574927eee523accbb20264f1b03cb,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/checkpoint.json,15046,54d06585395b575571ea3a10dd17f0b427f2f61f13b4acf831d3bcb5adf52a85,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/config.json,4730,d60ae13faae6f43f253741d9e4c57ae13ec14def1ed57fd3e1b508afcbf715ff,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/fold_selections.csv,16731,a4af9b01bc9b547b7720132a96305f138d671eff42270eae016bef15072d26f3,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/metrics.csv,1603,6cdc478b60d37a53f47c942bb833e4617d196b409e951023efceb39d9606bbe1,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_dev.csv,43054204,6b48c1db87898bcfc69a4b82d938d8d24ac523c03056f23fbb1964a9eae22638,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,52158009,8ac6b8bb2538e0b80ac2ccc689c8a8748e2227faaf680d650f86d8b8c989641a,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/preflight.json,5649,04dffe0eb46fea93ece18af5bae9523a061df1e2e6b5cccb3d06061cd3eef48e,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/resource_usage.json,49506,886a4862798e19df2f763cdacc584a1bd2da943771e0fe7ee2f173b3d7699368,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/run.log,7362,a3822e7c2c047418df23a6bb8a12f67ba43f5e79519646adb00ec2c3eac15e3a,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/selected_features.csv,3671,bb3409512075d82ec2df56ee7ed867913adabb0750f4cde7ce9b737e741018d4,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/stability.csv,545,d1e069317938cf87da938938702f7109d4c1bc9975c009f63574fb98e7a33e22,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,catboost,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/_SUCCESS,27,40dba83ee865180bf2094a6cd87f7e3e7dc58d2c51c8e05467e22e4d33e0dcec,True,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifest,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,17720,a485cc7a30e694c88cc2d7ee79a1f014fa65a33956ecadd4135bda128b3b530d,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/checkpoint.json,15022,d76aa6924729bd5e58026260750d87956351355984fc1108988ed3a3a4f4fb8b,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/config.json,4700,994f46a2a8a4f9c43a501f5609a42e62489a76b90e93d830df401e10d8be7f07,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/fold_selections.csv,7529,70847d2af54312f7d15939da20b0b4dfe1e641caf8a11b73e575a10035b6d7ff,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/metrics.csv,1588,2d154df379f51859341e5d9f30813e2a132bbd4ac9abcc13f73e5956f9149027,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_dev.csv,41845457,b52d4025bf55a6b4eb344018e1bfbf96a1fcff275ff7dbafba3704f16e0d0ac4,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,50693371,880ec9c9eeee514cf53dcd46c93a2bcc60fc56b9a341694d8933e74f82e59086,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/preflight.json,5649,04dffe0eb46fea93ece18af5bae9523a061df1e2e6b5cccb3d06061cd3eef48e,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/resource_usage.json,25872,9c035010613545c74174c7f8a47db521f221511bdc17cc2a103c992239f46b39,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/run.log,7337,e666796c278739d0b0c6b6956af7b3617896066b767f52744f2d7698d90e14ab,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/selected_features.csv,1710,354650dbcb4f24486eac3ec0bf95f0b8c5c9c5e359882a41df568c87b7a9c7eb,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/stability.csv,558,dde5525cb7eba057219804b80d835ba1247da7dcdc9478c8a7021f5256047ba4,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,catboost_shap,lr,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/_SUCCESS,27,a10b7b89739fe8dc084bdb455a7869d89d019856336c51d983631964ff45d555,True,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifest,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,15872,1ecca88c35d5e6d92785b230e947ae497eecc97fe6a3fcf608ca0de8f63b6394,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/checkpoint.json,15051,29f2525ac2a4622d35e9b6b2b87d9bad2e0354e847b99ab83c65040aeb5890d7,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/config.json,4060,46aec762be9eba58db19424acb41de68328c43c82ad2d452fefd5c270c948333,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/fold_selections.csv,243855,6893d0cfd206e161c33efef6c680bfe863aa271962b539f723dfaced809b377f,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/metrics.csv,1601,a6227667ec1c02a3a72e5be13fd05db14c437d1e99d1c5bc7b4f8b63e5474d0d,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_dev.csv,43056855,dd2c89ce041829ee38aba7198712224df04773104f1379ccd6896dfd03e40b2a,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,52161375,472cfee6590fdfa73d565423b1f1a0f79e531cdaa61e5a47b62cd492abfdd1f7,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/preflight.json,4863,54765a993e8beaa43e85584b012ff6edde959c73df09e3607f289f183ef466b5,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/resource_usage.json,922858,eb78ba95e24f0b126b7e685fd3aab71204d1e7dadd2b87f1191bca94f113d247,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/run.log,3818,84b1cde3e6e625752adb7c90964cbac549be3b82efb7a5aefe7bb56bd9e0b2b6,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/selected_features.csv,53055,fc60d6ee2e0273b56c86c9029b1fdb37c5b515987528aa363eaaa60bd531d904,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/stability.csv,434,111aa31988906083099bd58854c5f22a6aaca74e584740fc49e4ab49a7702bb5,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,catboost,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/_SUCCESS,27,dcb49cd264b944f9403946096fbc263e00e821337b8899d531e5b97eaf51e2ed,True,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifest,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,15854,db5245e61782a2bd504416c65bc9ff46d1cfd3db56380492be0f98a952e3850e,True,cleanup/audits/prompt_11_selector_combinations/baseline_completion_authentication.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/checkpoint.json,15440,4e2fa73321ff6e43f9568f9b22260c9e49af5c24a2deeb80d954c191d020a8f5,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/config.json,4030,1ace5199ee502763d1ca383efe1c2c9a670de6741e45929538ef00479cd5ba8a,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/fold_selections.csv,243855,6893d0cfd206e161c33efef6c680bfe863aa271962b539f723dfaced809b377f,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/metrics.csv,1581,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_dev.csv,41852580,87e188cb6f338462af24f95177d1aea3c5adc754743bdb9e457579e8e6bd176e,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/predictions_oot.csv,50703685,4abf2d809d8ba1e2338c47c1035a481a63a020f6d1dee7b4305f9b228bd13739,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/preflight.json,4860,c85412ca43e2b8b88b2182123dcf82021989d3bbf89c0cd731d61ba08170a263,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/resource_usage.json,540335,3d424d014c039b9636fd3b191aa1214824cdd21be7eb42368df8d7af5c4ea061,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/run.log,3791,cf5c4b04d272d22e05c0cbe31921190a04639172513c64d3b5c3782d3e2d4c96,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/selected_features.csv,53055,fc60d6ee2e0273b56c86c9029b1fdb37c5b515987528aa363eaaa60bd531d904,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,manifested_payload,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/stability.csv,434,111aa31988906083099bd58854c5f22a6aaca74e584740fc49e4ab49a7702bb5,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
baseline,active,homecredit,full_features,lr,success_marker,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/_SUCCESS,27,30a307d9166b95107019dfdd377f751cb85f3221c853021892989ee99d49be57,True,results/full_baseline_v1/runs/homecredit/fbv1-001-homecredit-lr-full-features-s42/manifest.json,
